StnNamn,Y_SMHI,X_SMHI,,År,RDA1,Ablabesmyia longistyla,Ablabesmyia monilis,Ablabesmyia phatta,Ablabesmyia,Acamptocladius submontanus,Acroloxus lacustris,Adicella reducta,Aeshna grandis,Aeshna,Agraylea  ,Agrypnia obsoleta,Agrypnia  ,Agrypnia varia,Ameletus inopinatus,Apatania  ,Argyroneta aquatica,Asellus aquaticus,Athripsodes aterrimus,Athripsodes bilineatus,Athripsodes cinereus,Athripsodes  ,Baetis  ,Bathyomphalus contortus,Batracobdella  ,Bithynia leachii,Bithynia tentaculata,Brillia  ,Caenis horaria,Caenis luctuosa,Callicorixa producta,Callicorixa  ,Callicorixa wollastoni,Capnia  ,Centroptilum luteolum,Ceraclea annulicornis,Chaoborus flavicans,Chironomus anthracinus-typ,Chironomus plumosus-typ,Chironomus salinarius-typ,Chironomus  ,Cladopelma  ,Cladotanytarsus  ,Clinotanypus nervosus,Cloeon dipterum gr.,Cloeon inscriptum,Cloeon  ,Coenagrion  ,Collembola,Conchapelopia  ,Constempellina  ,Cordulia aenea,Corynoneura  ,Cricotopus  ,Cryptochironomus  ,Cyrnus flavidus,Cyrnus insolutus,Cyrnus trimaculatus,Demicryptochironomus  ,Demicryptochironomus vulneratus,Dendrocoelum lacteum,Dicranota  ,Dicrotendipes  ,Diura nanseni,Dreissena polymorpha,Ecnomus tenellus,Elmis aenea,Eloeophila  ,Endochironomus  ,Ephemera vulgata,Epoicocladius ephemerae,Erpobdella octoculata,Erpobdella testacea,Erythromma najas,Eukiefferiella  ,Gammarus lacustris,Gammarus pulex,Gammarus  ,Glaenocorisa propinqua,Glossiphonia complanata,Glossiphonia concolor,Glossiphonia  ,Glyphotaelius pellucidus,Glyptotendipes  ,Goera pilosa,Grammotaulius nigropunctatus,Graptodytes  ,Gyraulus acronicus,Gyraulus albus,Gyraulus crista,Gyraulus  ,Gyrinus  ,Haemopis sanguisuga,Haliplus  ,Helobdella stagnalis,Hemiclepsis marginata,Heptagenia dalecarlica,Heptagenia sulphurea,Hesperocorixa linnaei,Heterotanytarsus apicalis,Heterotrissocladius grimshawi,Heterotrissocladius marcidus,Heterotrissocladius subpilosus,Hippeutis complanatus,Holocentropus dubius,Holocentropus picicornis,Holocentropus  ,Hydracarina,Hydraena  ,Hydropsyche angustipennis,Hydropsyche  ,Hydroptila  ,Hygrotus  ,Hyphydrus ovatus,Ilybius  ,Kageronia fuscogrisea,Lauterborniella agrayloides,Lepidostoma hirtum,Leptophlebia marginata,Leptophlebia  ,Leptophlebia vespertina,Limnephilus lunatus,Limnephilus rhombicus,Limnephilus  ,Limnius volckmari,Lymnaea stagnalis,Lype reducta,Marstoniopsis scholtzi,Micronecta  ,Micropsectra  ,Microtendipes pedellus,Microtendipes pedellus-typ,Molanna albicans,Molanna angustata,Molannodes tinctus,Mystacides azurea,Mystacides longicornis,Mystacides longicornis/nigra,Mystacides  ,Nanocladius  ,Nebrioporus assimilis,Nebrioporus depressus,Nematoda,Nemotaulius punctatolineatus,Nemoura avicularis,Nemoura cinerea,Nemoura  ,Nemurella pictetii,Neureclipsis bimaculata,Notidobia ciliaris,Oecetis furva,Oecetis lacustris,Oecetis notata,Oecetis ochracea,Oecetis  ,Oecetis testacea,Omisus caledonicus,Onychogomphus forcipatus,Orectochilus villosus,Oreodytes sanmarkii,Orthetrum  ,Orthotrichia  ,Oulimnius troglodytes,Oulimnius troglodytes-tuberculatus,Oulimnius tuberculatus,Oxyethira  ,Pacifastacus leniusculus,Pagastiella orophila,Pallasea quadrispinosa,Parachironomus  ,Paracladius  ,Paracladopelma  ,Parakiefferiella  ,Parakiefferiella triquetra,Paramerina  ,Paratanytarsus  ,Paratendipes  ,Pedicia  ,Pentaneurini,Phaenopsectra  ,Phryganea bipunctata,Phryganea grandis,Phryganea obsoleta,Physa fontinalis,Piscicola geometra,Pisidium  ,Platambus maculatus,Platycnemis penn.-Pyrrhosoma nymph.,Platycnemis pennipes,Plectrocnemia  ,Polycelis  ,Polycentropus flavomaculatus,Polycentropus irroratus,Polypedilum  ,Potamopyrgus antipodarum,Potthastia longimana,Potthastia  ,Procladius  ,Prodiamesa olivacea,Prosopistoma foliaceum,Psectrocladius septentrionalis-typ,Psectrocladius sordidellus-typ,Psectrocladius  ,Pseudochironomus prasinatus,Pseudodiamesa  ,Pseudorthocladius  ,Pseudosmittia  ,Radix balthica,Radix labiata,Radix  ,Rhyacophila fasciata,Sergentia coracina,Sergentia prima,Sergentia  ,Setodes argentipunctellus,Sialis fuliginosa,Sialis lutaria,Sialis lutaria gr.,Sialis sordida,Sialis  ,Sigara  ,Sisyra  ,Somatochlora flavomaculata,Somatochlora metallica,Stagnicola  ,Stempellina  ,Stempellinella  ,Stenelmis canaliculata,Stenochironomus  ,Stictochironomus rosenschoeldi,Stictochironomus  ,Sympetrum  ,Synorthocladius semivirens,Tanytarsus brundini,Tanytarsus  ,Theodoxus fluviatilis,Theromyzon tessulatum,Thienemannimyia gr.,Tinodes waeneri,Tipula salicetorum,Triaenodes bicolor,Tribelos  ,Turbellaria,Valvata piscinalis,Ylodes  ,Zavrelia  ,Zavrelimyia  
Abiskojaure,161749,758208,,2011,-0.120685883,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,2.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0,0.8,0,0,0,0,0,0,1.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
Allgjuttern,151724,642489,,2011,0.187408413,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.2,0,0,0,0,0,0,0,0.2,11.2,0,0,0,0,0.8,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,7.2,0,0,0,0.2,0,0,0,0,0.8,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,1.2,1,0,0,0,0,0,0.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,2.2,0,0,0,0.6,0.4,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,15.2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0
Alsjön,130644,647050,,2011,-0.065517512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,26.8,0,0,0,0,0.2,0,0,0,0.4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,48.2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,0.4,0,0,0,0,1.2,0,0,0,0,0,1.4,0,0,2.2,0,0,0,2.2,0,0,0,0,0
Bjännsjön,172465,713404,,2011,0.179450252,0,0,0.8,0,0,0,0,0,0,0,0.6,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,1,0,0,0,0,12.8,0,0,1.4,11.8,0.6,3,0,0,0,0,0.2,0,0.6,0,0,0,0,0,4.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,2.2,0,0,0.2,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,16.8,0,0,0,0,0,0,0,1.6,0,0,0.8,0,0,0,0,0,71.2,1.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1.4,0,0,0,0,0,27.2,0,0,0,0,0,0,0,0,0,0,0,0
Björken,159032,652707,,2011,0.101531911,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,78.4,0,0,0,0,0,0,0,0,0,0,23.8,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,17.4,0,0,0.4,0,0,1.4,0,0.4,0,0.4,0,0,2,0,0,0.8,0,0,1.8,3,1.6,1.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,1.4,0,0,0,22.6,0,6.4,4,0,13.4,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.4,10.4,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0.2,0,0,0.2,0,66.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,5.6,0,0,0,0,0.2,11.2,2,3.4,0,0,0.6,0.2,0,0,0,0,2.8,2.2,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,10.2,0,0,0,0.4,0,0,0,0
Brunnsjön,149526,627443,,2011,0.048127188,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.2,0,1.8,0,0,0,2.2,0,0,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0.6,0.8,0,2.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2
Brännträsket,175926,728095,,2011,-0.054079837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.2,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0.2,1,4.6,0,0,0,0,0,0.8,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,2,0,0,0,0.2,0,0,0,2.2,0.4,0.4,6.8,0,21,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Bysjön,130264,658086,,2011,-0.089388064,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.2,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,1.4,0,0.4,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,1,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.2,0,0,0,0
Bäen,141149,623624,,2011,-0.005123434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.8,0,0,0,0.2,0,0,0.8,0,0,1.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.6,0,0.6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,2.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,1.8,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.2,0,0,0,0,0,0,0,0,0
Bästeträsk,168553,642555,,2011,0.030553603,0,0.2,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,37.4,0.2,1.8,0.6,0.8,0,0,0,0,0.4,0,0,39.8,0,0,0,0,41,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,15,0,0,0,0,0.2,0,0,0.8,0,0,0.6,0,0.2,0,0,0,0.4,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0.2,0,0,0.4,0,0,0,0,0,0,0,0.2,0,2.6,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0.2,0,0,3,0,0,0,0,5.2,0,0,1.4,0,0,0,0,0.2,0,0,0,0,6.2,0,0,0,0,0,0,0,1.6,0,0,0,1.2,0,0,0,0,8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.4,0,0,0,0,0,0,0,0,0,0,0
